Molécules: ;30; Atomes: ;89; Température Initiale (°C): ;25.0; Solution : ;3,33 Na1Cl1, 96,67 H2O1, ; Intégrateur : ;VERLET_VB;
chrono (s); MPS; temps (fs); Température (°C); Volume (m^3); Pression (kPa); Énergie Potentielle (JÅ); Énergie Cinétique (JÅ); Énergie Mécanique (JÅ);
0;1168,057;6,187;381.9149499393402;2857.167959579809;2.9206307738344486;-8917325.69382031;8344.73266876257;-8908980.961151548;
856;2660,819;23,394;335.74589795858424;2974.383265919006;2.986101225052886;-8914112.484269524;8881.809514137549;-8905230.674755387;
1885;3977,517;48,850;263.5168764529559;3284.4393397991557;3.6962357950812743;-8920707.903692698;12140.062254538749;-8908567.84143816;
2910;3954,320;73,775;244.79615730843196;3644.7441546913624;3.2317197526295405;-8926014.462493379;11778.791677997133;-8914235.670815382;
3919;3762,712;97,394;180.72648626734198;3962.8995020104408;3.04938615559934;-8913040.52584769;12084.410877462156;-8900956.114970228;
4924;3892,720;122,837;198.16399163337613;4460.440784332262;2.45991978
